# Logfile created on 2026-03-28 00:57:08 +0100 by logger.rb/v1.5.3
2026-03-28 00:57:08 +0100: Memory Usage (437524K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA_to_PADS.gds
2026-03-28 00:57:08 +0100: Memory Usage (437524K) : Ruby Version for klayout: 3.2.3
2026-03-28 00:57:09 +0100: Memory Usage (440156K) : Loading database to memory is complete.
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_to_PADS_HPA_topvia2.lyrdb
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : Evaluate switches.
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : tables selected: topvia2
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : flat mode is enabled.
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : FEOL enabled: false
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : BEOL enabled: false
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : OFFGRID enabled: true
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : PIN enabled: false
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : FORBIDDEN enabled: false
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : RECOMMENDED enabled: true
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : PreCheck DRC enabled: false
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : CONNECTIVITY_RULES enabled: false.
2026-03-28 00:57:09 +0100: Memory Usage (440452K) : Read in polygons from layers.
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_drw has 198 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_pin has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_mask has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_iopc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : activ_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : biwind_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : biwind_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443448K) : pemwind_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (443832K) : gatpoly_drw has 108 polygons
2026-03-28 00:57:09 +0100: Memory Usage (444052K) : gatpoly_pin has 124 polygons
2026-03-28 00:57:09 +0100: Memory Usage (444052K) : gatpoly_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (444052K) : gatpoly_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (444052K) : gatpoly_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (444052K) : gatpoly_iopc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (444052K) : gatpoly_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : cont_drw has 16803 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : cont_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : nsd_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : nsd_block has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : metal1_drw has 390 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : metal1_pin has 515 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : metal1_mask has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : metal1_filler has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : metal1_nofill has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450120K) : metal1_slit has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : metal1_text has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : metal1_opc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : metal1_noqrc has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : metal1_res has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : metal1_iprobe has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : metal1_diffprb has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : passiv_drw has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : passiv_pin has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : passiv_sbump has 0 polygons
2026-03-28 00:57:09 +0100: Memory Usage (450444K) : passiv_pillar has 0 polygons
