# Logfile created on 2026-03-25 02:33:05 +0100 by logger.rb/v1.5.3
2026-03-25 02:33:05 +0100: Memory Usage (435448K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/OTA_Telescopic_TOP_wp.gds
2026-03-25 02:33:05 +0100: Memory Usage (435448K) : Ruby Version for klayout: 3.2.3
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : Loading database to memory is complete.
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/HPAmplifier/OTA_Telescopic_backup/OTA_Telescopic_NO_FLATTEN/Layout_and_Related_files/drc_run_OTA_Telescopic_TOP_wp/OTA_Telescopic_TOP_wp_OTA_Telescopic_TOP_wp_topvia1.lyrdb
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : Evaluate switches.
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : tables selected: topvia1
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : deep mode is enabled.
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : FEOL enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : BEOL enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : OFFGRID enabled: true
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : PIN enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : FORBIDDEN enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : RECOMMENDED enabled: true
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : PreCheck DRC enabled: false
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : Read in polygons from layers.
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_drw has 5032 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_pin has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_mask has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_nofill has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_iopc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : activ_noqrc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : biwind_drw has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (437000K) : biwind_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438040K) : pemwind_drw has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438040K) : gatpoly_drw has 2679 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438040K) : gatpoly_pin has 377 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438040K) : gatpoly_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438040K) : gatpoly_nofill has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438040K) : gatpoly_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438304K) : gatpoly_iopc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438304K) : gatpoly_noqrc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438304K) : cont_drw has 24680 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438304K) : cont_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438568K) : nsd_drw has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438612K) : nsd_block has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438612K) : metal1_drw has 7670 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438872K) : metal1_pin has 2038 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438872K) : metal1_mask has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438872K) : metal1_filler has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (438872K) : metal1_nofill has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439136K) : metal1_slit has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439136K) : metal1_text has 1 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439136K) : metal1_opc has 0 polygons
2026-03-25 02:33:05 +0100: Memory Usage (439136K) : metal1_noqrc has 0 polygons
